"uuid","handle","rights","interdis","filepath","wos","scopus","pubmed","trdizin","yoktez","scopus_q","wos_q","issn","ispartof","auth_aff","author0","authority0","ou0","author1","authority1","ou1","author2","authority2","ou2","author3","authority3","ou3","author4","authority4","ou4","author5","authority5","ou5","author6","authority6","ou6","author7","authority7","ou7","author8","authority8","ou8","author9","authority9","ou9","author10","authority10","ou10","advisor0","advisor_authority0","ou_adv0","advisor1","advisor_authority1","ou_adv1","subject0","subject1","subject2","subject3","subject4","subject5","abstract","title","date","type","relation","fund","scopus_citation","wos_citation","views","downloads","google_num_citations","google_cites_per_year","plumcapture","plumcategorytotals","mendeley_readcount","mendeley_readers","citesperdoc2years","sjr"
"7fb8968c-5cc2-4359-aff3-ca2231f2006c",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"14610f4f-a339-4cef-bbba-47f0e7b6ae82",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"4849fd4d-3a32-4edf-b81a-b9e7cde8aa7e",NULL,"info:eu-repo/semantics/openAccess",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"İstinye Üniversitesi Kurumsal Akademik Arşiv ve Açık Erişim Yönergesi","2018","Article",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"be6e7bfb-8011-4f27-8e14-6702b35bf31b","11147/2923","info:eu-repo/semantics/openAccess",NULL,"/bitstream/11147/2923/1/T000863.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Güçyeter, Başak",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Günaydin, Hüsnü Murat","rp02902",25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Starting in 1970s with the two major oil crises, conservation of non-renewable energy sources became an important concern. Buildings, which hold a large portion of energy consumed in the world, became subject to significant reductions through the energy consuming processes, especially for space heating and cooling energy consumption end uses. Strong initiatives are set in the world, promoting energy efficiency in buildings, both for new designs and existing building stock. However, energy-efficient improvement of existing building stock is a more challenging process for existing buildings; due to lack of energy conscious decisions, which were disregarded during design process. Energy-efficient retrofitting thus becomes an important focus of the research areas that aim to endorse efficiency in buildings Principally with Energy Performance in Buildings Directive of European Union, methodologies to optimize design decisions for energy-efficient retrofitting emerged. In Turkey, energy performance of buildings is recently introduced with a regulation in 2008. Prior to this regulation TS 825 Thermal Insulation in Buildings was the main control mechanism, which was only mandatory a decade ago. The lack of methodological approach and control mechanisms caused the relatively young Turkish building stock, become non-insulated or poorly insulated. Therefore this research focuses on proposing a methodology for energy-efficient retrofitting of public building envelopes, particularly as building types which may raise public awareness on the necessity of energy efficiency in buildings. The dissertation aims to fill the gap of a structured methodology which can be applied throughout defined set of actions to diagnose the existing performance of a building, to propose retrofitting options and evaluate these options to assess an advantageous solution to energy-efficient retrofit of public building envelopes. The thesis aims to indicate the savings in annual energy consumption, reduction in CO2 emissions and improvement in indoor thermal comfort as a result of a retrofitting action applied due to a structured methodology.","A method on energey-efficient retrofitting for existing building envelopes","2010","Doctoral Thesis",NULL,NULL,NULL,NULL,"68","54",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"9c2d398b-e36f-4ce6-95ff-3ac3baaf90b2","11147/11086","info:eu-repo/semantics/openAccess",NULL,"/bitstream/11147/11086/1/662242.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Firik, Tuğba",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Arslan Yıldız, Ahu,",NULL,NULL,NULL,NULL,NULL,"3D cell culture","Three dimensional modeling","Intestinal tissue engineering","Synthetic polymers",NULL,NULL,"Bağırsak doku mühendisliği, doku rejenerasyonu, onarımı, 3 boyutlu hastalık modellerini taklit etmek, bağırsağı simüle etmek için hücrelere veya dokuya uygun mikro çevre sağlayarak, iskeleler yapmak ve hasarlı bağırsak için hücre dışı matrisi (ECM) taklit etmek için biyomateryallerin kullanılmasıyla ilgilenen doku mühendisliğinin alt alanıdır. Bu amaçla, farklı üretim yöntemleri kullanılarak doğal, yarı sentetik veya sentetik polimerlerden elde edilen iskeleleri farklı tipte bağırsak hücreleri ile birleştirir. Bu tezde, bağırsak doku mühendisliğinde ortak kültür çalışmasında kullanılan ticari Transwell desteklerine alternatif olarak iskeleler elde etmek için polikarbonat (PC), polikaprolakton (PCL) ve Poliviniliden florür (PVDF) elektro eğirme tekniği ile üretilmiştir. Böylece, elektro eğrilmiş PC, PCL ve PVDF iskele içeren 12 kuyulu Traswell, iki PMMA dairesi arasında sandviç yapılarak tasarlandı. Yapı iskelelerindeki hücresel davranışı gözlemlemek için bağırsak doku mühendisliği sisteminde en çok kullanılan kolorektal kanser hücreleri olan Caco-2 hücreleri elektro eğrilmiş PC, PCL ve PVDF iskelelerinde kültürlendi. Yapı iskelelerinin hücre canlılığı analizine göre 7 günlük kültürleme süresinin sonunda toksik etki gözlenmedi. Literatürde bilindiği gibi, Caco-2 hücreleri 3-4 haftalık kültürlemeden sonra hücre içi etkileşimler oluşturur ve tight junction gibi yapılar oluştururlar. Bariyer bütünlüğünü analiz etmek için fenol kırmızısı geçirgenliği ve transepitelyal elektriksel direnç ölçüldü. PCL iskelesi için fenol kırmızısının geçirgenliği, PC ve PVDF'nin aksine 21 gün sonra %50'den %15'e önemli bir düşüş göstermiştir. Ek olarak, TEER ölçümleri fenol kırmızısı geçirgenlik testini kanıtladı çünkü PCL sonuçlarında 7. günde TEER'in ortalama 468 Ω.cm2 ölçüldüğünü ve 21. gün ölçümünün yaklaşık 1133Ω.cm2 olarak hesaplandığını gösterdi.","Development and characterization of electrospun polymer scaffolds for 3D cell culture model to mimic human intestine system","2020-12","Master Thesis",NULL,NULL,NULL,NULL,"222","116",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"878a8aa7-1193-4efb-9e51-789f9a7b4467","11147/7668","info:eu-repo/semantics/openAccess",NULL,"/bitstream/11147/7668/1/Sirunyan2018_Article_Com.pdf","WOS:000430567200001","2-s2.0-85049784465",NULL,NULL,NULL,"Q2",NULL,"1029-8479","Journal of High Energy Physics",NULL,"CMS Collaboration",NULL,NULL,"Karapınar, Güler","rp01849",11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Hadron-Hadron scattering","Heavy-ion collision","Jet physics","Large Hadron Collider (LHC)",NULL,NULL,"The transverse momentum balance of pairs of back-to-back b quark jets in
PbPb and pp collisions recorded with the CMS detector at the LHC is reported. The
center-of-mass energy in both collision systems is 5.02TeV per nucleon pair. Compared
to the pp collision baseline, b quark jets have a larger imbalance in the most central
PbPb collisions, as expected from the jet quenching e ect. The data are also compared
to the corresponding measurement with inclusive dijets. In the most central collisions, the
imbalance of b quark dijets is comparable to that of inclusive dijets.","Comparing transverse momentum balance of b jet pairs in pp and PbPb collisions at ?sNN=5.02 TeV","2018-03","Article",NULL,"The Scientific and Technical Research Council of Turkey, and Turkish Atomic Energy Authority","8","5","88","126",NULL,NULL,NULL,NULL,NULL,NULL,"4,10","948"
"84eceb43-0eec-49c7-a80f-d013893f5719","11147/6547","info:eu-repo/semantics/openAccess",NULL,"/bitstream/11147/6547/1/T001618.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Karabulut, Mehmet Görkem","rp00344",21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Dede, Mehmet İsmet Can","rp00110",21,NULL,NULL,NULL,"Finite element analysis","Magneto-Rheological (MR)","Haptic devices","MR-brake",NULL,NULL,"Bu tezde, kinestetik haptik cihazlarda kullanılmak üzere geliştirilen Magneto-Reolojik (MR) sıvısı ile çalışan özgün bir fren sisteminin tasarımı anlatılmaktadır. MR fren sisteminin yeni tasarımı, iki adet tek yönde çalışan frenlerin bir araya gelmesinden oluşmaktadır ve bu özellik ile MR frenin aktif olduğunda rotasyon hareketini iki yönde sınırlamasından ortaya çıkan takılma sorununa bir çözüm sunmaktadır. Hareketin sınırlanması, kullanıcıda sanal bir duvarda takılma hissi meydana getirmektedir.
Birbirinden bağımsız olarak kontrol edilebilen iki ayrı frenden oluşan sistem sayesinde, fren yapılacak olan dönüş yönü kontrol edilebilir ve bu sayede kullanıcı tek yönde serbest şekilde hareket edebilirken diğer yönde sınırlandırılmış olur.
MR freni konsept tasarımdan final tasarımına, tasarım optimizasyon metodu uygulanarak geliştirilmiştir. Bu metot sonlu elemanlar analizi (FEA) ve sistemin matematik modelini içermektedir. Bu metodu kullanarak, geliştirilen sistemin performansının gelecekteki kullanım hedeflerini karşılayıp karşılamadığını tahmin etmek mümkün olmaktadır. Prototip üretildikten sonra, sistemin performansı bu tez kapsamında oluşturulan bir test düzeneği ile deneysel olarak doğrulanmıştır.
Deneysel çalışma, sistemi karakterize etme ve frekans davranışlarının incelenmesi olmak üzere iki kısımdan oluşmaktadır. Sonuç olarak, sistemin karakteri, beklenilen histerezis etkisinin de açıkça gösterildiği akım ve tork ilişkisi ile ortaya çıkarılmıştır. Elde edilen deneysel sonuçlar kullanılarak sistemin kontrol modeli yüzde 95’lik doğruluk oranı ile matematiksel olarak modellenmiştir. Deneysel sonuçlar, sistemin maksimum tork değerinin 3.84 Nm ve minimum tork değerinin 0.15 Nm olduğunu göstermektedir.
Sistemin tepkisi farklı frekanslarda deneysel olarak incelenmiş ve buradan elde edilen sonuç ile sistemin transfer fonksiyonu elde edilerek bode şeması oluşturulmuştur. Bu sonuçlara göre sistemin bant genişliği 63 rad/s olarak hesaplanmıştır.","Development of MR-fluid based semi-active dampers to be used in haptic devices","2017-07","Master Thesis",NULL,"Supported by The Scientific and Technological Research Council of Turkey via grant number 115E726.",NULL,NULL,"144","144",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"83f25f2f-57e3-47b7-99df-60c679218f15","11147/8513","info:eu-repo/semantics/openAccess",NULL,NULL,"WOS:000477924000040",NULL,NULL,NULL,NULL,"Q1",NULL,"0370-2693","Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics",NULL,"Karapınar, Güler","rp01849",11,"CMS Collaboration",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"CMS","Physics","Standard model","WZ","VBS",NULL,"A measurement of WZ electroweak (EW) vector boson scattering is presented. The measurement is performed in the leptonic decay modes WZ -> l nu l'l', where l, l' = e, mu. The analysis is based on a data sample of proton-proton collisions at root s = 13 TeV at the LHC collected with the CMS detector and corresponding to an integrated luminosity of 35.9 fb(-1) . The WZ plus two jet production cross section is measured in fiducial regions with enhanced contributions from EW production and found to be consistent with standard model predictions. The EW WZ production in association with two jets is measured with an observed (expected) significance of 2.2 (2.5) standard deviations. Constraints on charged Higgs boson production and on anomalous quartic gauge couplings in terms of dimension-eight effective field theory operators are also presented. (C) 2019 The Author(s). Published by Elsevier B.V.","Measurement of electroweak WZ boson production and search for new physics in WZ plus two jets events in pp collisions at root s=13 TeV","2019","Article",NULL,NULL,"23","22","74","0",NULL,NULL,NULL,NULL,NULL,NULL,"4,42","1795"
"f513866d-312f-4477-9576-2264f445d2ac","11147/9919","info:eu-repo/semantics/openAccess",NULL,"/bitstream/11147/9919/1/1-s2.0-S0022202X15602044-main.pdf","WOS:000359739400365",NULL,NULL,NULL,NULL,"Q1",NULL,"1523-1747","Journal of Investigative Dermatology",NULL,"Aypek, Hande",NULL,NULL,"Meşe, Gülistan","rp00263",12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Connexins (Cx) form gap junctions and non-junctional hemichannels that play roles in several cellular mechanisms, including proliferation and differentiation. The importance of connexins for human physiology was shown by the association of mutations in several isoforms with various human hereditary disorders. Mutations in Cx26 cause both non-syndromic and syndromic deafness associated with skin disorders including keratitis-ichthyosis-deafness (KID) syndrome. In vitro characterization of Cx26 mutations suggested that mutations causing non-syndromic deafness and syndromic deafness show different properties, where the former ones result in loss-of-function and the latter ones cause gain-of-function mutations.","Keratitis-Ichthyosis-Deafness syndrome associated mutations impair the localization and functions of Connexin 26","2015","Conference Object",NULL,NULL,NULL,NULL,"130","142",NULL,NULL,NULL,NULL,NULL,NULL,"4,65","1990"
"78beeb3c-6672-456d-8ce1-d7624c22fad3","11147/5569","info:eu-repo/semantics/openAccess",NULL,"/bitstream/11147/5569/1/5569.pdf","WOS:000344362500014","2-s2.0-84911114692",NULL,NULL,NULL,"Q2",NULL,"0021-8995","Journal of Applied Polymer Science",NULL,"Erdoğan, İpek","rp00440",12,"Demir, Merve",NULL,NULL,"Bayraktar, Oğuz","rp02965",20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Crosslinking","Electrospinning","Fibers",NULL,NULL,NULL,"Incorporating active agents, reinforcing structure by crosslinking, thus changing release properties, can be listed as possible modifications in preparation methods of biopolymer fibers. This study introduces oleuropein, major component of olive leaf extract (OLE), as a natural functional crosslinker for electrospun zein fibers, owing to its antioxidant and antimicrobial properties. Incorporation of OLE causes morphological and structural changes indicated by a decrease in fiber diameter up to 27%, an increase in intensity of NH bending region due to interaction with -OH groups and observation of characteristic oleuropein bands. Extract addition also enhances thermal stability. Zein fibers without OLE is fully degraded at 600C, whereas 10% of OLE loaded zein fibers is left undegraded. Fifty percent of initial phenolic content loaded into fibers is released which indicate the effect of OLE incorporation as accumulation of oleuropein. OLE-incorporated fibers immersed in PBS are less fused than pure zein fibers, due to the crosslinking effect.","Olive leaf extract as a crosslinking agent for the preparation of electrospun zein fibers","2015-01","Article",NULL,NULL,"16","19","142","230","30","{2017: 5, 2018: 5, 2019: 5, 2020: 7, 2021: 7, 2022: 1}",NULL,NULL,NULL,NULL,"2,67","541"
